iter	RMSE
349	74.5075059
350	74.49832809
351	74.47500508
352	74.44931886
353	74.43003332
354	74.4014079
355	74.3788703
356	74.3622364
357	74.32439066
358	74.30823006
359	74.2874461
360	74.27042232
361	74.26257593
362	74.23957702
363	74.22856913
364	74.21415403
365	74.20067233
366	74.18657468
367	74.16981489
368	74.14984157
369	74.13954429
370	74.12340673
371	74.10613167
372	74.08670777
373	74.07529686
374	74.06599816
375	74.0363912
376	74.01779233
377	74.00436412
378	73.99276022
379	73.973701
380	73.94145039
381	73.9259685
382	73.90903752
383	73.90106766
384	73.8906867
385	73.875997
386	73.86594498
387	73.84592909
388	73.82712048
389	73.81600512
390	73.79852061
391	73.78139593
392	73.77117029
393	73.75496133
394	73.73343115
395	73.71915041
396	73.70727866
397	73.68557635
398	73.66521568
399	73.64609149
400	73.63193446
401	73.61555492
402	73.6023848
403	73.58135183
404	73.56914429
405	73.55448587
406	73.52639569
407	73.52230539
408	73.50926016
409	73.4925546
410	73.47498878
411	73.46365208
412	73.44864197
413	73.44066567
414	73.42137978
415	73.40513431
416	73.39986702
417	73.38018636
418	73.36869354
419	73.34779057
420	73.34262191
421	73.3223359
422	73.28856871
423	73.27637783
424	73.24982901
425	73.23258701
426	73.22391724
427	73.20143689
428	73.19092311
429	73.18504071
430	73.16145841
431	73.15458393
432	73.1377261
433	73.1166972
434	73.09568989
435	73.08289284
436	73.07584838
437	73.05158732
438	73.02972045
439	73.01005398
440	72.99277296
441	72.97500376
442	72.95442001
443	72.93768497
444	72.92630709
445	72.90903153
446	72.87802001
447	72.85979904
448	72.84031634
449	72.82289695
450	72.80163143
451	72.76888791
452	72.75133558
453	72.73510411
454	72.71829632
455	72.70329268
456	72.68363498
457	72.66447427
458	72.64955608
459	72.64265295
460	72.63092478
461	72.61344656
462	72.59937937
463	72.59523536
464	72.57615368
465	72.56427871
466	72.53600987
467	72.52565684
468	72.49761917
469	72.47945745
470	72.45903333
471	72.4401541
472	72.42986235
473	72.41202237
474	72.39235485
475	72.38590636
476	72.36856327
477	72.36080303
478	72.33591458
479	72.31928425
480	72.30278916
481	72.28720551
482	72.27821892
483	72.26048033
484	72.24700217
485	72.23277014
486	72.21778441
487	72.2069632
488	72.19294459
489	72.18671523
490	72.17265749
491	72.15203126
492	72.13996542
493	72.1182906
494	72.10821284
495	72.0937684
